monster	oninit	level	item1	loc1	mod1	item2	loc2	mod2	item3	loc3	mod3	*eol
bloodraven	1	0	sbw	rarm	6							0
flyingscimitar	1	0	scm	rarm	6							0
valkyrie		27	ci2	head	6							0
valkyrie		25	m25	neck	7							0
valkyrie		24	m24	neck	7							0
valkyrie		23	m23	neck	7							0
valkyrie		23	uhc	belt	6							0
valkyrie		22	m22	neck	7							0
valkyrie		21	m21	neck	7							0
valkyrie		21	uhb	feet	6							0
valkyrie		20	m20	neck	7							0
valkyrie		19	m19	neck	7							0
valkyrie		19	utg	glov	6							0
valkyrie		18	m18	neck	7							0
valkyrie		17	m17	neck	7							0
valkyrie		17	7p7	rarm	6							0
valkyrie		16	m16	neck	7							0
valkyrie		16	uar	tors	6							0
valkyrie		15	m15	neck	7							0
valkyrie		14	m14	neck	7							0
valkyrie		14	ci0	head	4							0
valkyrie		13	m13	neck	7							0
valkyrie		12	m12	neck	7							0
valkyrie		12	zhb	belt	4							0
valkyrie		11	m11	neck	7							0
valkyrie		11	xhb	feet	4							0
valkyrie		10	m10	neck	7							0
valkyrie		10	xhg	glov	4							0
valkyrie		9	mo9	neck	7							0
valkyrie		8	mo8	neck	7							0
valkyrie		8	9p9	rarm	6							0
valkyrie		7	mo7	neck	7							0
valkyrie		7	xul	tors	6							0
valkyrie		6	mo6	neck	7							0
valkyrie		5	mo5	neck	7							0
valkyrie		5	hbl	belt	4							0
valkyrie		4	mo4	neck	7							0
valkyrie		4	hbt	feet	4							0
valkyrie		3	mo3	neck	7							0
valkyrie		2	mo2	neck	7							0
valkyrie		2	hgl	glov	4							0
valkyrie		1	mo1	neck	7							0
valkyrie		0	spr	rarm	6							0
valkyrie		0	ful	tors	6							0
shadowwarrior		25	m25	neck	7							0
shadowwarrior		24	m24	neck	7							0
shadowwarrior		23	m23	neck	7							0
shadowwarrior		22	m22	neck	7							0
shadowwarrior		21	m21	neck	7							0
shadowwarrior		20	m20	neck	7							0
shadowwarrior		19	m19	neck	7							0
shadowwarrior		18	m18	neck	7							0
shadowwarrior		17	m17	neck	7							0
shadowwarrior		16	m16	neck	7							0
shadowwarrior		15	m15	neck	7							0
shadowwarrior		14	m14	neck	7							0
shadowwarrior		13	m13	neck	7							0
shadowwarrior		12	m12	neck	7							0
shadowwarrior		11	m11	neck	7							0
shadowwarrior		10	m10	neck	7							0
shadowwarrior		9	mo9	neck	7							0
shadowwarrior		8	mo8	neck	7							0
shadowwarrior		7	mo7	neck	7							0
shadowwarrior		6	mo6	neck	7							0
shadowwarrior		5	mo5	neck	7							0
shadowwarrior		4	mo4	neck	7							0
shadowwarrior		3	mo3	neck	7							0
shadowwarrior		2	mo2	neck	7							0
shadowwarrior		1	mo1	neck	7							0
shadowwarrior		0	ces	rarm	4							0
shadowwarrior		0	btl	larm	4							0
shadowwarrior		0		tors	4							0
shadowwarrior		0		head	4							0
shadowmaster		25	m25	neck	7							0
shadowmaster		24	m24	neck	7							0
shadowmaster		23	m23	neck	7							0
shadowmaster		22	m22	neck	7							0
shadowmaster		21	m21	neck	7							0
shadowmaster		20	m20	neck	7							0
shadowmaster		19	m19	neck	7							0
shadowmaster		18	m18	neck	7							0
shadowmaster		17	m17	neck	7							0
shadowmaster		16	m16	neck	7							0
shadowmaster		15	m15	neck	7							0
shadowmaster		14	m14	neck	7							0
shadowmaster		13	m13	neck	7							0
shadowmaster		13	rin	lrin	6							0
shadowmaster		12	m12	neck	7							0
shadowmaster		11	m11	neck	7							0
shadowmaster		11	7ar	rarm	6	7xf	rarm	6	7qr	rarm	6	0
shadowmaster		11	7cs	larm	6	7tw	larm	6	7qr	larm	6	0
shadowmaster		11	ulg	glov	6	umg	glov	6	uhg	glov	6	0
shadowmaster		11	rin	rrin	6							0
shadowmaster		11		tors	6							0
shadowmaster		11		head	6							0
shadowmaster		10	m10	neck	7							0
shadowmaster		9	mo9	neck	7							0
shadowmaster		9	rin	rrin	4							0
shadowmaster		8	mo8	neck	7							0
shadowmaster		7	mo7	neck	7							0
shadowmaster		6	mo6	neck	7							0
shadowmaster		6	7ar	rarm	4	7xf	rarm	4	7qr	rarm	4	0
shadowmaster		6	7cs	larm	4	7tw	larm	4	7qr	larm	4	0
shadowmaster		6	ulg	glov	4	umg	glov	4	uhg	glov	4	0
shadowmaster		6		tors	4							0
shadowmaster		6		head	4							0
shadowmaster		5	mo5	neck	7							0
shadowmaster		5	ulg	glov	3	umg	glov	3	uhg	glov	3	0
shadowmaster		4	mo4	neck	7							0
shadowmaster		3	mo3	neck	7							0
shadowmaster		2	mo2	neck	7							0
shadowmaster		1	mo1	neck	7							0
shadowmaster		0	7ar	rarm	3	7xf	rarm	3	7qr	rarm	3	0
shadowmaster		0	7cs	larm	3	7tw	larm	3	7qr	larm	3	0
shadowmaster		0		tors	3							0
shadowmaster		0		head	3							0
*end*  do not remove												0
